Ingredient,Substitute,Context,Equivalent
coconut milk,1 cup coconut cream powered + 4 cups milk 3.5% hot,"The category is: Non-dairy Milks & Creams. This is available in liquid form (in cans or aseptic containers), frozen, and as a powder. Don't confuse coconut milk with coconut water, which is the liquid found in the center of a fresh coconut, or with the sweetened cream of coconut powder used in mixed drinks. Varieties: Light (or ""lite"") coconut milk has less fat and about a quarter of the calories of the regular version, but doesn't taste nearly as rich. You can reduce the fat (and calories) in a can of regular coconut milk by letting it settle, and then skimming and discarding some of the thick coconut cream off the top. Lighten what's left even more by diluting it with water or chicken broth. Where to find it: Asian foods section of many supermarkets. Combine one part powdered coconut cream plus four parts hot milk",5 cups coconut milk
coconut milk,1 cup coconut cream + 4 cups water,"The category is: Non-dairy Milks & Creams. This is available in liquid form (in cans or aseptic containers), frozen, and as a powder. Don't confuse coconut milk with coconut water, which is the liquid found in the center of a fresh coconut, or with the sweetened cream of coconut powder used in mixed drinks. Varieties: Light (or ""lite"") coconut milk has less fat and about a quarter of the calories of the regular version, but doesn't taste nearly as rich. You can reduce the fat (and calories) in a can of regular coconut milk by letting it settle, and then skimming and discarding some of the thick coconut cream off the top. Lighten what's left even more by diluting it with water or chicken broth. Where to find it: Asian foods section of many supermarkets.",5 cups coconut milk
coconut oil,1 cup canola oil,The category is: Oils & Cooking Sprays. much lower in saturated fat,1 cup coconut oil
coconut oil,1 cup corn oil,The category is: Oils & Cooking Sprays. much lower in saturated fat,1 cup coconut oil
coconut rum,1 pint Irish cream liqueur,The category is: Other Liqueurs. This is white rum flavored with coconut.   Malibu Rum and CocoRibe are well-known brands.,1 pint coconut rum
coconut shoots,1 pound bamboo shoots,The category is: Stalk Vegetables. not as sweet,1 pound coconut shoots
coconut syrup,1 cup cream of coconut,"The category is: Other Liquid Sweeteners. Hawaiians like to pour this syrup on pancakes, but it's also used in several mixed drinks. To make your own: See the recipe for coconut syrup posted on kitchenmixes.com. for mixed drinks",1 cup coconut syrup
coconut vinegar,1 cup cane vinegar,"The category is: Vinegars. This is a somewhat harsh and potent vinegar that's common in the Philippines, Southeast Asia, and southern India.",1 cup coconut vinegar
coconut vinegar,0.25 cups water + 0.75 cups white wine vinegar,"The category is: Vinegars. This is a somewhat harsh and potent vinegar that's common in the Philippines, Southeast Asia, and southern India. 3 parts white vinegar plus 1 part water",1 cup coconut vinegar
coconut vinegar,1 cup white wine vinegar,"The category is: Vinegars. This is a somewhat harsh and potent vinegar that's common in the Philippines, Southeast Asia, and southern India.",1 cup coconut vinegar
coconut vinegar,1 cup cider vinegar,"The category is: Vinegars. This is a somewhat harsh and potent vinegar that's common in the Philippines, Southeast Asia, and southern India.",1 cup coconut vinegar
coconut water,1 each coconut,The category is: Non-dairy Milks & Creams. This is the liquid found inside a coconut. Drain liquid from the center of a whole fresh coconut.,1 cup coconut water
cod,1 pound pollock,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound cape capensis,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound halibut,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound sole,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound flounder,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound orange roughy,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound haddock,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound whiting,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound hake,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound ocean perch,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound tilapia,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound catfish,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod,1 pound tilefish,"The category is: Codfish. This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.",1 pound cod
cod cheeks,1 pound cod,"The category is: Codfish. cod cheeks, which are good and inexpensive",1 pound cod cheeks
coffee,1 cup tea,The category is: Coffee.,1 cup coffee
coffee,1 cup milk 3.5% + 1 ounce chocolate syrup,The category is: Coffee.,1 cup coffee
coffee filter,1 each paper towels,The category is: Coffee.,1 each coffee filter
coffee grinder,1 each blender,The category is: Coffee.,1 each coffee grinder
coffee grinder,1 each pepper mill,The category is: Coffee.,1 each coffee grinder
coffee liqueurs,1 pint chocolate liqueurs,"The category is: Other Liqueurs. Coffee-flavored liqueurs are used to make Black and White Russians and other mixed drinks.   Popular brands include Mexico's Kahlúa and the rum-based Tía Maria from Jamaica.
See the (Substitute for) Kahlua recipe posting on SOAR, or the Tia Maria recipe posted by Bar-None.",1 pint coffee liqueurs
coffee liqueurs,1 pint cognac,"The category is: Other Liqueurs. Coffee-flavored liqueurs are used to make Black and White Russians and other mixed drinks.   Popular brands include Mexico's Kahlúa and the rum-based Tía Maria from Jamaica.
See the (Substitute for) Kahlua recipe posting on SOAR, or the Tia Maria recipe posted by Bar-None.",1 pint coffee liqueurs
coffee liqueurs,1 pint rum,"The category is: Other Liqueurs. Coffee-flavored liqueurs are used to make Black and White Russians and other mixed drinks.   Popular brands include Mexico's Kahlúa and the rum-based Tía Maria from Jamaica.
See the (Substitute for) Kahlua recipe posting on SOAR, or the Tia Maria recipe posted by Bar-None.",1 pint coffee liqueurs
cognac,1 ounce Armagnac,"The cuisine is: French. The category is: Brandy. The very best cognacs are labeled VVSOP, Napoleon, Vieille Reserve, Grand Reserve, Royal, or Vieux. Next in the rankings are cognacs labeled Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP (Very Superior Old Pale), Reserve, or VO. Next come cognacs with VS or *** on their labels.  Connoisseurs also check for the cru, or place where the cognac was made. The best crus are Grande Champagne and Petite Champagne. more flavorful and slightly drier than cognac",1 ounce cognac
cognac,1 ounce brandy American,"The cuisine is: French. The category is: Brandy. The very best cognacs are labeled VVSOP, Napoleon, Vieille Reserve, Grand Reserve, Royal, or Vieux. Next in the rankings are cognacs labeled Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP (Very Superior Old Pale), Reserve, or VO. Next come cognacs with VS or *** on their labels.  Connoisseurs also check for the cru, or place where the cognac was made. The best crus are Grande Champagne and Petite Champagne.",1 ounce cognac
coho salmon,1 pound chinook salmon,The category is: Salmon. larger,1 pound coho salmon
Cointreau,1 pint Grand Marnier,"The category is: Fruit Liqueurs. This is an orange liqueur that’s not as well regarded as Grand Marnier, but considered a step above curaçao and triple sec. nicer and more expensive",1 pint Cointreau
Cointreau,1 pint curaçao,"The category is: Fruit Liqueurs. This is an orange liqueur that’s not as well regarded as Grand Marnier, but considered a step above curaçao and triple sec. sweeter",1 pint Cointreau
Cointreau,1 pint triple sec,"The category is: Fruit Liqueurs. This is an orange liqueur that’s not as well regarded as Grand Marnier, but considered a step above curaçao and triple sec. even sweeter",1 pint Cointreau
Cointreau,1 pint orange juice concentrate,"The category is: Fruit Liqueurs. This is an orange liqueur that’s not as well regarded as Grand Marnier, but considered a step above curaçao and triple sec. unsweetened orange juice concentrate",1 pint Cointreau
colander,1 each tongs,The category is: Extracting & Straining Tools. Cooks use these to wash foods or to drain noodles or vegetables after boiling.  Large metal ones are best. use tongs to lift food out (works especially well with noodles),1 each colander
colander,1 each sieve,The category is: Extracting & Straining Tools. Cooks use these to wash foods or to drain noodles or vegetables after boiling.  Large metal ones are best.,1 each colander
Colby,1 pound Cheddar,The category is: Semi-Firm Cheeses. This Wisconsin cow's milk cheese resembles a mild Cheddar. sharper flavor,1 pound Colby
Colby,1 pound American cheese,The category is: Semi-Firm Cheeses. This Wisconsin cow's milk cheese resembles a mild Cheddar.,1 pound Colby
Colby,1 pound cheese substitutes,The category is: Semi-Firm Cheeses. This Wisconsin cow's milk cheese resembles a mild Cheddar.,1 pound Colby
cold duck,1 bottle champagne,The category is: Sparkling Wine. This is a sweetened blend of sparkling wines. It's cheap and tastes like it.,1 bottle cold duck
cold duck,1 bottle sparkling cider,The category is: Sparkling Wine. This is a sweetened blend of sparkling wines. It's cheap and tastes like it. Non-alcoholic,1 bottle cold duck
collard greens,1 pound kale,"The category is: Cooking Greens. This is a favorite of Southern cooks, who often cook them with salt pork or smoked ham hocks.  Frozen collards are an acceptable substitute for fresh. crinkled leaves",1 pound collard greens
collard greens,1 pound kohlrabi greens,"The category is: Cooking Greens. This is a favorite of Southern cooks, who often cook them with salt pork or smoked ham hocks.  Frozen collards are an acceptable substitute for fresh.",1 pound collard greens
collard greens,1 pound bok choy,"The category is: Cooking Greens. This is a favorite of Southern cooks, who often cook them with salt pork or smoked ham hocks.  Frozen collards are an acceptable substitute for fresh. milder flavor",1 pound collard greens
collard greens,1 pound turnip greens,"The category is: Cooking Greens. This is a favorite of Southern cooks, who often cook them with salt pork or smoked ham hocks.  Frozen collards are an acceptable substitute for fresh.",1 pound collard greens
collard greens,1 pound mustard greens,"The category is: Cooking Greens. This is a favorite of Southern cooks, who often cook them with salt pork or smoked ham hocks.  Frozen collards are an acceptable substitute for fresh. spicier flavor",1 pound collard greens
comb honey,1 cup liquid honey,The category is: Honey. Comb honey is honey that's sold in the (edible) wax comb just as the bees left it. It contains chunks of honeycomb.,1 cup comb honey
comb honey,1 cup spun honey,The category is: Honey. Comb honey is honey that's sold in the (edible) wax comb just as the bees left it. It contains chunks of honeycomb.,1 cup comb honey
Comice pear,1 pound Anjou pear,"The category is: Pears. These juicy pears are considered to be the best for eating out of hand, but they're very expensive.",1 pound Comice pear
Comice pear,1 pound Bartlett pear,"The category is: Pears. These juicy pears are considered to be the best for eating out of hand, but they're very expensive.",1 pound Comice pear
Comice pear,1 pound Asian pear,"The category is: Pears. These juicy pears are considered to be the best for eating out of hand, but they're very expensive.",1 pound Comice pear
compound chocolate coating,1 pound couverture chocolate,"The category is: Chocolate. This is an inexpensive chocolate that's melted and used for dipping and molding.  Since it's made with vegetable oils instead of cocoa butter, it's much easier to work with than ordinary chocolate.  It also melts at a higher temperature, so it doesn't get all over your hands when you eat it.  The downside is that it doesn't have the rich taste and texture of regular chocolate.  Though it's considered to be a beginner's chocolate, it's still a bit fussy.  It can scorch if you cook it at too high a temperature, or seize if you add even a drop of cold liquid to it after it's melted. This has luscious cocoa butter, which makes it tastier but harder to work with.",1 pound compound chocolate coating
compound chocolate coating,1 pound chocolate-hazelnut spread,"The category is: Chocolate. This is an inexpensive chocolate that's melted and used for dipping and molding.  Since it's made with vegetable oils instead of cocoa butter, it's much easier to work with than ordinary chocolate.  It also melts at a higher temperature, so it doesn't get all over your hands when you eat it.  The downside is that it doesn't have the rich taste and texture of regular chocolate.  Though it's considered to be a beginner's chocolate, it's still a bit fussy.  It can scorch if you cook it at too high a temperature, or seize if you add even a drop of cold liquid to it after it's melted. This makes a good chocolate dip for strawberries.  Thin it with a little cream and warm it in a double boiler before dipping.",1 pound compound chocolate coating
Comte,1 pound Gruyere,"The category is: Semi-Firm Cheeses. This excellent French cow's milk cheese dates from the time of Charlemagne.  It has a mildly sweet, nutty flavor, much like Gruyère.  It's a very good melting cheese.",1 pound Comte
Comte,1 pound fontina,"The category is: Semi-Firm Cheeses. This excellent French cow's milk cheese dates from the time of Charlemagne.  It has a mildly sweet, nutty flavor, much like Gruyère.  It's a very good melting cheese.",1 pound Comte
Comte,1 pound Beaufort,"The category is: Semi-Firm Cheeses. This excellent French cow's milk cheese dates from the time of Charlemagne.  It has a mildly sweet, nutty flavor, much like Gruyère.  It's a very good melting cheese.",1 pound Comte
Comte,1 pound Emmental,"The category is: Semi-Firm Cheeses. This excellent French cow's milk cheese dates from the time of Charlemagne.  It has a mildly sweet, nutty flavor, much like Gruyère.  It's a very good melting cheese.",1 pound Comte
conch,1 pound whelk,"The category is: Mollusks - Clams. This is popular in Florida and the Caribbean.  In other regions, your best bet is to look in Asian or Italian markets.",1 pound conch
conch,1 pound clam,"The category is: Mollusks - Clams. This is popular in Florida and the Caribbean.  In other regions, your best bet is to look in Asian or Italian markets. stronger flavor, firmer texture",1 pound conch
conch,1 pound abalone,"The category is: Mollusks - Clams. This is popular in Florida and the Caribbean.  In other regions, your best bet is to look in Asian or Italian markets. more expensive",1 pound conch
conchiglie,1 pound lumache,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound fusilli,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound gemelli,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound farfalle,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound radiatori,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound penne,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound macaroni,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound rigatoni,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound ziti,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound rotelle,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound conchiglie,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchiglie,1 pound cannelloni,"The category is: Pasta Shapes. This Italian pasta resembles conch shells.  It's often served with tomato or meat sauces, or in pasta salads.  A smaller version for soups is called conchigliette, while larger, stuffable shells are called conchiglioni.",1 pound conchiglie
conchigliette,1 pound ditalini,The category is: Soup Pasta. This is a tiny version of a classic Italian pasta shape:  the conchiglie or conch shell.  Conchigliette is most often used as a soup pasta.,1 pound conchigliette
conchigliette,1 pound tubettini,The category is: Soup Pasta. This is a tiny version of a classic Italian pasta shape:  the conchiglie or conch shell.  Conchigliette is most often used as a soup pasta.,1 pound conchigliette
conchigliette,1 pound stelle,The category is: Soup Pasta. This is a tiny version of a classic Italian pasta shape:  the conchiglie or conch shell.  Conchigliette is most often used as a soup pasta.,1 pound conchigliette
conchigliette,1 pound soup pasta,The category is: Soup Pasta. This is a tiny version of a classic Italian pasta shape:  the conchiglie or conch shell.  Conchigliette is most often used as a soup pasta.,1 pound conchigliette
conchiglioni,1 pound lumaconi,The category is: Pasta Shapes. Pasta shaped like conch shells come in various sizes; this is the largest.  It's often stuffed and baked.,1 pound conchiglioni
conchiglioni,1 pound manicotti,The category is: Pasta Shapes. Pasta shaped like conch shells come in various sizes; this is the largest.  It's often stuffed and baked.,1 pound conchiglioni
conchiglioni,1 pound canneroni,The category is: Pasta Shapes. Pasta shaped like conch shells come in various sizes; this is the largest.  It's often stuffed and baked.,1 pound conchiglioni
Concord grapes,1 pound flame seedless grapes,The category is: Table Grapes. These dark purple grapes have large seeds. They are tangy and sweet. It is often used to make grape jelly.,1 pound Concord grapes
conger eel,1 pound elvers,The category is: Eels.,1 pound conger eel
conger eel,1 pound freshwater eels,The category is: Eels.,1 pound conger eel
conger eel,1 pound spiny eel,The category is: Eels.,1 pound conger eel
conger eel,1 pound lamprey,The category is: Eels. more delicate,1 pound conger eel
conger eel,1 pound monkfish,The category is: Eels.,1 pound conger eel
conger eel,1 pound mullet,The category is: Eels. flakier texture,1 pound conger eel
converted rice,1 cup brown rice,"The category is: Rice. This is a good compromise between nutritious brown rice and tender, fast-cooking white rice.  Converted rice is steamed before it's husked, a process that causes the grains to absorb many of the nutrients from the husk.  When cooked, the grains are more nutritious, firmer, and less clingy than white rice grains.   Uncle Ben's is a well-known brand. more nutritious, takes longer to cook",1 cup converted rice
converted rice,1 cup white rice,"The category is: Rice. This is a good compromise between nutritious brown rice and tender, fast-cooking white rice.  Converted rice is steamed before it's husked, a process that causes the grains to absorb many of the nutrients from the husk.  When cooked, the grains are more nutritious, firmer, and less clingy than white rice grains.   Uncle Ben's is a well-known brand. less nutritious, stickier, takes less time to cook",1 cup converted rice
cooking pot,1 each casserole pot,The category is: Stovetop Equipment.,1 each cooking pot
cooking spray,1 ounce vegetable oil spread,"The category is: Oils & Cooking Sprays. includes vegetable oil spray, olive oil spray, and butter-flavored spray. Rub on",1 spray cooking spray
cooking spray,1 ounce olive oil spread,"The category is: Oils & Cooking Sprays. includes vegetable oil spray, olive oil spray, and butter-flavored spray. Rub on",1 spray cooking spray
cooking spray,1 ounce butter spread,"The category is: Oils & Cooking Sprays. includes vegetable oil spray, olive oil spray, and butter-flavored spray. Rub on",1 spray cooking spray
cooking wine,1 bottle table wine,"The category is: Other Wines. You should never cook with a wine you wouldn't drink, but some ""cooking wines"" sold at stores violate this maxim. Avoid them and instead cook with inexpensive, but drinkable, table wines. Avoid putting wine in aluminum or iron pans for prolonged periods.",1 bottle cooking wine
copha,1 pound vegetable oil,The cuisine is: Australian. The category is: Fats. This is a shortening based on coconut oil that's commonly used in Australia. It's very hard to find in the U.S.,1 pound copha
coppa salami,1 pound krakauer,The category is: Cold Cuts. This has bits of ham in it.,1 pound coppa salami
coppa salami,1 pound schinkenwurst,The category is: Cold Cuts. This has bits of ham in it.,1 pound coppa salami
coppa salami,1 pound Canadian bacon,The category is: Cold Cuts. This has bits of ham in it.,1 pound coppa salami
copper bowl,1 each glass bowl,The category is: Bowls & Containers. eggs beaten in aluminum bowls can turn gray.,1 each copper bowl
copper bowl,1 each ceramic bowl,The category is: Bowls & Containers. eggs beaten in aluminum bowls can turn gray. ceramic bowl (drawback:  beaten eggwhites won't hold their volume as long),1 each copper bowl
lobster coral,1 pound sea urchin roe,The category is: Caviar & Roe. This roe turns a lovely coral color when cooked.,1 pound lobster coral
lobster coral,1 pound caviar,The category is: Caviar & Roe. This roe turns a lovely coral color when cooked.,1 pound lobster coral
coralli,1 pound orzo,The cuisine is: Italian. The category is: Soup Pasta. These tiny tubes of pasta are normally used in soups.,1 pound coralli
coralli,1 pound acini di pepe,The cuisine is: Italian. The category is: Soup Pasta. These tiny tubes of pasta are normally used in soups.,1 pound coralli
coralli,1 pound tubettini,The cuisine is: Italian. The category is: Soup Pasta. These tiny tubes of pasta are normally used in soups.,1 pound coralli
coralli,1 pound conchigliette,The cuisine is: Italian. The category is: Soup Pasta. These tiny tubes of pasta are normally used in soups.,1 pound coralli
coralli,1 pound soup pasta,The cuisine is: Italian. The category is: Soup Pasta. These tiny tubes of pasta are normally used in soups.,1 pound coralli
coriander root,1 pound cilantro stems,"The category is: Roots. Thai recipes sometimes call for these roots, but they're hard to find in markets. The best source is to pull out a cilantro plant in your garden, or you can use cilantro stems instead. use two stems for each root",1 pound coriander root
coriander seeds,1 tablespoon caraway seed,"The category is: Global Spices. Coriander seeds are a common ingredient in the cuisines of India, the Middle East, Latin America, North Africa, and Southeast Asia. The popular herb cilantro comes from the same plant, but it's not a good substitute for the seeds. You can buy the seeds already ground, but for better flavor and shelf life, buy coriander seeds and grind them yourself. To enhance the flavor, toast the seeds in a pan for a few minutes first.",1 tablespoon coriander seeds
coriander seeds,1 tablespoon cumin,"The category is: Global Spices. Coriander seeds are a common ingredient in the cuisines of India, the Middle East, Latin America, North Africa, and Southeast Asia. The popular herb cilantro comes from the same plant, but it's not a good substitute for the seeds. You can buy the seeds already ground, but for better flavor and shelf life, buy coriander seeds and grind them yourself. To enhance the flavor, toast the seeds in a pan for a few minutes first.",1 tablespoon coriander seeds
coriander seeds,1 tablespoon cardamom,"The category is: Global Spices. Coriander seeds are a common ingredient in the cuisines of India, the Middle East, Latin America, North Africa, and Southeast Asia. The popular herb cilantro comes from the same plant, but it's not a good substitute for the seeds. You can buy the seeds already ground, but for better flavor and shelf life, buy coriander seeds and grind them yourself. To enhance the flavor, toast the seeds in a pan for a few minutes first.",1 tablespoon coriander seeds
coriander seeds,1 tablespoon fennel,"The category is: Global Spices. Coriander seeds are a common ingredient in the cuisines of India, the Middle East, Latin America, North Africa, and Southeast Asia. The popular herb cilantro comes from the same plant, but it's not a good substitute for the seeds. You can buy the seeds already ground, but for better flavor and shelf life, buy coriander seeds and grind them yourself. To enhance the flavor, toast the seeds in a pan for a few minutes first.",1 tablespoon coriander seeds
coriander seeds,1 tablespoon nutmeg,"The category is: Global Spices. Coriander seeds are a common ingredient in the cuisines of India, the Middle East, Latin America, North Africa, and Southeast Asia. The popular herb cilantro comes from the same plant, but it's not a good substitute for the seeds. You can buy the seeds already ground, but for better flavor and shelf life, buy coriander seeds and grind them yourself. To enhance the flavor, toast the seeds in a pan for a few minutes first.",1 tablespoon coriander seeds
coriander seeds,1 tablespoon turmeric,"The category is: Global Spices. Coriander seeds are a common ingredient in the cuisines of India, the Middle East, Latin America, North Africa, and Southeast Asia. The popular herb cilantro comes from the same plant, but it's not a good substitute for the seeds. You can buy the seeds already ground, but for better flavor and shelf life, buy coriander seeds and grind them yourself. To enhance the flavor, toast the seeds in a pan for a few minutes first.",1 tablespoon coriander seeds
corkscrew,1 each chef knife,"The category is: Bar Equipment. Using a knife, cut as much of the cork out as possible, then push what's left into the bottle.  Strain the wine into another container.",1 each corkscrew
corn,0.75 cups barley flakes,"The category is: Corn. This is the only grain that's commonly eaten as a fresh vegetable.  Native to the Americas, corn is a great source of vitamin A, fiber, and other nutrients.
When corn comes into season during the summer, it's common to see people in supermarkets peeling back husks in search of ears with perfect rows of kernels.  Don't do that yourself.  Crooked rows taste just as good as straight, and keeping the husk on helps the corn stay sweet.  Freshness is a better criterion, since the sugars in corn begin converting into starch the moment it's picked.  The best test is to sample some kernels.   Frozen corn kernels are a good substitute when fresh corn is out of season, but canned corn is only a fair substitute.",1 each corn
corn,0.75 cups garden pea,"The category is: Corn. This is the only grain that's commonly eaten as a fresh vegetable.  Native to the Americas, corn is a great source of vitamin A, fiber, and other nutrients.
When corn comes into season during the summer, it's common to see people in supermarkets peeling back husks in search of ears with perfect rows of kernels.  Don't do that yourself.  Crooked rows taste just as good as straight, and keeping the husk on helps the corn stay sweet.  Freshness is a better criterion, since the sugars in corn begin converting into starch the moment it's picked.  The best test is to sample some kernels.   Frozen corn kernels are a good substitute when fresh corn is out of season, but canned corn is only a fair substitute. One ear yields about 3/4 cup of kernels.",1 each corn
cornbread crumbs,1 pound breadcrumbs,"The category is: Crumbs. This is used to bread or stuff poultry and fish.  Packaged cornbread crumbs are available in the baking supplies section of many supermarkets, or you can make your own by crumbling cooled cornbread.",1 pound cornbread crumbs
corn chips,1 pound tortilla chips,"The category is: Crackers. These are made with cornmeal, and taste especially good with chili.",1 pound corn chips
corn chips,1 pound potato chips,"The category is: Crackers. These are made with cornmeal, and taste especially good with chili.",1 pound corn chips
corned beef,1 pound pastrami,"The category is: Cold Cuts. This is cut from a beef brisket that's been cured with salt and spices and then simmered in water.  It's traditionally served hot on rye bread. more tender, but otherwise very similar",1 pound corned beef
cornflake crumbs,1 cup breadcrumbs,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself. dry and fine",1 cup cornflake crumbs
cornflake crumbs,1 cup panko,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself.",1 cup cornflake crumbs
cornflake crumbs,1 cup cornmeal,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself.",1 cup cornflake crumbs
cornflake crumbs,1 cup cracker meal,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself.",1 cup cornflake crumbs
cornflake crumbs,1 cup melba toast + 1 tablespoon vegetable oil,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself. crushed and tossed with oil",1 cup cornflake crumbs
cornflake crumbs,1 cup coating mix,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself.",1 cup cornflake crumbs
cornflake crumbs,1 cup pretzel crushed,"The category is: Crumbs. This is used as a colorful breading for meat and fish, and as a topping for casseroles.  You can buy cornflakes already crushed, or buy whole cornflakes and crush them yourself.",1 cup cornflake crumbs
corn flour,1 cup cornmeal,"The category is: Nonwheat Flours. To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour. Mix cornmeal in a blender until it has the consistency of flour.",1 cup corn flour
corn flour,1 cup cornmeal,"The category is: Nonwheat Flours. To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour. cornmeal (more coarsely ground; consider cooking with liquids in recipe first to soften)",1 cup corn flour
corn flour,1 cup nonwheat flour,"The category is: Nonwheat Flours. To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour.",1 cup corn flour
corn husks,1 each banana leaves,"The category is: Food Wrappers. Hispanic cooks use these, both fresh and dried, to wrap tamales before steaming them.   Before using, soak the husks in hot water for about 30 minutes to make them more pliable. for wrapping food",1 each corn husks
